,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases1 
deaths1",,,,,,
1,Western Pacific Region,,,,,,
2,China,81116,39,3231,13,Local transmission,0
3,Republic of Korea,8320,84,81,6,Local transmission,0
4,Japan,829,15,28,4,Local transmission,0
5,Malaysia,553,0,0,0,Local transmission,1
6,Australia,414,78,5,0,Local transmission,0
7,Singapore,266,23,0,0,Local transmission,0
8,Philippines,187,45,12,0,Local transmission,0
9,Viet Nam,61,4,0,0,Local transmission,0
10,Brunei Darussalam,54,4,0,0,Local transmission,0
11,Cambodia,24,12,0,0,Local transmission,0
12,New Zealand,11,5,0,0,Local transmission,0
13,Mongolia,4,0,0,0,Imported cases only,1
14,Territories**,,,,,,
15,"French Polynesia 
3 
0 
0 
0 
Imported cases only 
2",,,,,,
16,"Guam 
3 
3 
0 
0 
Local transmission 
0",,,,,,
17,European Region,,,,,,
18,Italy,31506,3526,2503,345,Local transmission,0
19,Spain,11178,1987,491,182,Local transmission,0
20,France,7652,1079,175,27,Local transmission,0
21,Germany,7156,1144,13,0,Local transmission,0
22,Switzerland,2650,450,14,5,Local transmission,0
23,The United Kingdom,1954,407,55,5,Local transmission,0
24,Netherlands,1705,292,43,19,Local transmission,0
25,Belgium,1486,401,14,9,Local transmission,0
26,Austria,1332,373,3,2,Local transmission,0
27,Norway,1308,139,3,0,Local transmission,0
28,Sweden,1167,108,3,0,Local transmission,0
29,Denmark,977,79,4,3,Local transmission,0
30,Portugal,448,117,1,1,Local transmission,0
31,Czechia,434,136,0,0,Local transmission,0
32,Greece,387,56,4,0,Local transmission,0
33,Finland,319,47,0,0,Local transmission,0
34,Israel,304,0,0,0,Local transmission,1
35,Ireland,292,69,2,0,Local transmission,0
36,Slovenia,275,22,1,1,Local transmission,0
37,Poland,246,96,5,2,Local transmission,0
38,Estonia,225,20,0,0,Local transmission,0
39,Iceland,225,45,0,0,Local transmission,0
40,Romania,184,26,0,0,Local transmission,0
41,Luxembourg,140,59,1,0,Local transmission,0
42,San Marino,104,2,11,2,Local transmission,0
43,Slovakia,97,25,0,0,Local transmission,0
44,Russian Federation,93,0,0,0,Imported cases only,1
45,Bulgaria,81,14,2,0,Local transmission,0
46,Serbia††,85,23,0,0,Local transmission,0
47,Croatia,65,9,0,0,Local transmission,0
,0,1,2,3,4,5,6
0,Latvia,60,24,0,0,Imported cases only,0
1,Albania,55,4,1,0,Local transmission,0
2,Armenia,52,0,0,0,Local transmission,1
3,Hungary,50,11,1,0,Local transmission,0
4,Turkey,47,0,0,0,Imported cases only,1
5,Malta,38,8,0,0,Imported cases only,0
6,Belarus,36,0,0,0,Local transmission,1
7,Georgia,34,1,0,0,Imported cases only,0
8,Cyprus,33,0,0,0,Imported cases only,1
9,Kazakhstan,33,27,0,0,Imported cases only,0
10,North Macedonia,31,12,0,0,Local transmission,0
11,Republic of Moldova,30,1,0,0,Local transmission,0
12,Lithuania,25,8,0,0,Imported cases only,0
13,Azerbaijan,21,0,0,0,Imported cases only,2
14,"Bosnia and 
Herzegovina",19,0,0,0,Local transmission,2
15,Andorra,16,2,0,0,Imported cases only,0
16,Uzbekistan,16,12,0,0,Imported cases only,0
17,Ukraine,14,9,2,1,Local transmission,0
18,Monaco,9,0,0,0,Under investigation,1
19,Liechtenstein,7,0,0,0,Imported cases only,1
20,Montenegro,2,2,0,0,Imported cases only,0
21,Holy See,1,0,0,0,Under investigation,11
22,Territories**,,,,,,
23,Faroe Islands,47,36,0,0,Imported cases only,0
24,Jersey,5,3,0,0,Imported cases only,0
25,Gibraltar,3,0,0,0,Under investigation,1
26,Guernsey,1,0,0,0,Imported cases only,8
27,South-East Asia Region,,,,,,
28,Thailand,177,30,1,0,Local transmission,0
29,Indonesia,172,0,5,0,Local transmission,1
30,India,137,23,3,1,Local transmission,0
31,Sri Lanka,29,10,0,0,Local transmission,0
32,Maldives,13,0,0,0,Local transmission,2
33,Bangladesh,8,0,0,0,Local transmission,1
34,Bhutan,1,0,0,0,Imported cases only,11
35,Nepal,1,0,0,0,Imported cases only,54
36,Eastern Mediterranean Region,,,,,,
37,"Iran (Islamic Republic 
of)",16169,1178,988,135,Local transmission,0
38,Qatar,442,41,0,0,Local transmission,0
39,Bahrain,237,16,1,0,Local transmission,0
40,Pakistan,187,134,0,0,Imported cases only,0
41,Saudi Arabia,171,38,0,0,Local transmission,0
42,Egypt,166,40,4,2,Local transmission,0
43,Iraq,154,30,11,2,Local transmission,0
44,Kuwait,130,7,0,0,Local transmission,0
45,Lebanon,120,21,3,0,Local transmission,0
46,United Arab Emirates,98,0,0,0,Local transmission,2
47,Morocco,38,9,2,1,Local transmission,0
48,Jordan,35,29,0,0,Imported cases only,0
49,Oman,24,2,0,0,Imported cases only,0
50,Tunisia,24,4,0,0,Local transmission,0
51,Afghanistan,22,1,0,0,Imported cases only,0
,0,1,2,3,4,5,6
0,"Somalia 
1 
0 
0 
0 
Imported cases only 
1",,,,,,
1,"Sudan 
1 
0 
1 
0 
Imported cases only 
3",,,,,,
2,Territories**,,,,,,
3,"occupied Palestinian 
41 
2 
0 
0 
Local transmission 
0 
territory",,,,,,
4,Region of the Americas,,,,,,
5,"United States of 
America",3536,1822,58,17,Local transmission,0
6,Canada,424,120,1,0,Local transmission,0
7,Brazil,234,34,0,0,Local transmission,0
8,Chile,156,81,0,0,Local transmission,0
9,Peru,86,15,0,0,Local transmission,0
10,Mexico,82,29,0,0,Imported cases only,0
11,Panama,69,26,1,0,Local transmission,0
12,Argentina,65,9,2,0,Local transmission,0
13,Ecuador,58,21,2,0,Local transmission,0
14,Colombia,45,11,0,0,Local transmission,0
15,Costa Rica,41,6,0,0,Local transmission,0
16,"Venezuela (Bolivarian 
Republic of)",33,16,0,0,Imported cases only,0
17,Dominican Republic,21,16,1,1,Local transmission,0
18,Jamaica,12,2,0,0,Local transmission,0
19,"Bolivia (Plurinational 
State of)",11,0,0,0,Imported cases only,1
20,Paraguay,9,1,0,0,Local transmission,0
21,Honduras,8,6,0,0,Imported cases only,0
