,0,1,2,3,4,5,6
0,"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,
1,,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths
2,Hubei,5917,134,67,31,67466,2902
3,Guangdong,11346,0,0,0,1350,7
4,Henan,9605,0,0,0,1272,22
5,Zhejiang,5737,2,1,0,1215,1
6,Hunan,6899,0,0,0,1018,4
7,Anhui,6324,0,0,0,990,6
8,Jiangxi,4648,0,0,0,935,1
9,Shandong,10047,0,0,0,758,6
10,Jiangsu,8051,0,0,0,631,0
11,Chongqing,3102,0,2,0,576,6
12,Sichuan,8341,1,0,0,539,3
13,Heilongjiang,3773,1,0,0,481,13
14,Beijing,2154,1,10,0,418,8
15,Shanghai,2424,0,17,0,338,3
16,Hebei,7556,0,0,0,318,6
17,Fujian,3941,0,0,0,296,1
18,Guangxi,4926,0,0,0,252,2
19,Shaanxi,3864,0,0,0,245,1
20,Yunnan,4830,0,2,0,174,2
21,Hainan,934,0,1,0,168,5
22,Guizhou,3600,0,0,0,146,2
23,Tianjin,1560,0,11,0,136,3
24,Shanxi,3718,0,0,0,133,0
25,Liaoning,4359,0,32,0,125,1
26,Hong Kong SAR,745,4,0,0,104,2
27,Jilin,2704,0,0,0,93,1
28,Gansu,2637,0,0,0,91,2
29,Xinjiang,2487,0,0,0,76,3
30,Ningxia,688,0,0,0,75,0
31,Inner Mongolia,2534,0,0,0,75,1
32,Taipei and environs,2359,0,0,0,42,1
33,Qinghai,603,0,0,0,18,0
34,Macao SAR,66,0,0,0,10,0
35,Xizang,344,0,0,0,1,0
36,Total,142823,143,143,31,80565,3015
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since 
Reporting Country/ 
Total 
Transmission 
confirmed* 
confirmed 
new 
last reported 
Territory/Area 
deaths 
classification† 
cases 
new cases 
deaths 
case",,,,,,
1,Western Pacific Region,,,,,,
2,Republic of Korea,5766,438,35,3,Local transmission,0
3,Japan,317,33,6,0,Local transmission,0
4,Singapore,110,0,0,0,Local transmission,1
5,Australia,57,14,2,2,Local transmission,0
6,Malaysia,50,0,0,0,Local transmission,1
7,Viet Nam,16,0,0,0,Local transmission,21
8,Philippines,3,0,1,0,Imported cases only,29
9,New Zealand,2,0,0,0,Imported cases only,2
10,Cambodia,1,0,0,0,Imported cases only,37
11,European Region,,,,,,
12,Italy,3089,587,107,27,Local transmission,0
13,France^^,282,73,4,0,Local transmission,0
14,Germany,262,66,0,0,Local transmission,0
15,Spain,198,47,1,1,Local transmission,0
16,"the United 
Kingdom^^",89,38,0,0,Local transmission,0
17,Switzerland^^,56,20,0,0,Local transmission,0
