,0,1,2,3,4,5,6
0,"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,
1,,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths
2,Hubei,5917,4,0,13,67790,3075
3,Guangdong,11346,0,0,0,1356,8
4,Henan,9605,0,0,0,1273,22
5,Zhejiang,5737,0,0,0,1227,1
6,Hunan,6899,0,0,0,1018,4
7,Anhui,6324,0,0,0,990,6
8,Jiangxi,4648,0,0,0,935,1
9,Shandong,10047,0,0,0,760,7
10,Jiangsu,8051,0,0,0,631,0
11,Chongqing,3102,0,0,0,576,6
12,Sichuan,8341,0,0,0,539,3
13,Heilongjiang,3773,0,0,0,482,13
14,Beijing,2154,1,5,0,437,8
15,Shanghai,2424,4,11,0,350,3
16,Hebei,7556,0,0,0,318,6
17,Fujian,3941,0,0,0,296,1
18,Guangxi,4926,0,0,0,252,2
19,Shaanxi,3864,0,0,0,245,2
20,Yunnan,4830,0,0,0,174,2
21,Hainan,934,0,0,0,168,6
22,Guizhou,3600,0,0,0,146,2
23,Hong Kong SAR,745,6,0,1,137,4
24,Tianjin,1560,0,1,0,136,3
25,Shanxi,3718,0,0,0,133,0
26,Gansu,2637,2,0,0,129,2
27,Liaoning,4359,0,0,0,125,1
28,Jilin,2704,0,0,0,93,1
29,Xinjiang,2487,0,0,0,76,3
30,Ningxia,688,0,0,0,75,0
31,Inner Mongolia,2534,0,0,0,75,1
32,Taipei and environs,2359,1,0,0,50,1
33,Qinghai,603,0,0,0,18,0
34,Macao SAR,66,0,0,0,10,0
35,Xizang,344,0,0,0,1,0
36,Total,142823,18,17,14,81021,3194
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,
1,Western Pacific Region,,,,,,
2,Republic of Korea,8086,107,72,6,Local transmission,0
3,Japan,716,41,21,2,Local transmission,0
4,Singapore,200,13,0,0,Local transmission,0
5,Australia,197,57,3,0,Local transmission,0
6,Malaysia,197,68,0,0,Local transmission,0
7,Philippines,64,12,2,0,Local transmission,0
8,Viet Nam,48,9,0,0,Local transmission,0
9,Brunei Darussalam,25,13,0,0,Local transmission,0
10,Cambodia,7,2,0,0,Local transmission,0
11,New Zealand,6,1,0,0,Local transmission,0
12,Mongolia,1,0,0,0,Imported cases only,4
13,Territories**,,,,,,
14,"French Polynesia 
1 
0 
0 
0 
Imported cases only 
2",,,,,,
15,European Region,,,,,,
16,Italy,17660,2547,1268,252,Local transmission,0
