,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases1 
deaths1",,,,,,
1,Western Pacific Region,,,,,,
2,China,81300,126,3253,11,Local transmission,0
3,Republic of Korea,8652,239,94,10,Local transmission,0
4,Japan,950,77,33,4,Local transmission,0
5,Malaysia,900,227,2,0,Local transmission,0
6,Australia,709,199,6,0,Local transmission,0
7,Singapore,345,32,0,0,Local transmission,0
8,Philippines,217,30,17,3,Local transmission,0
9,Viet Nam,85,19,0,0,Local transmission,0
10,Brunei Darussalam,73,17,0,0,Local transmission,0
11,Cambodia,47,12,0,0,Local transmission,0
12,New Zealand,39,19,0,0,Local transmission,0
13,Mongolia,6,1,0,0,Imported cases only,0
14,Fiji,1,1,0,0,Imported cases only,0
15,Territories**,,,,,,
16,"Guam 
12 
7 
0 
0 
Local transmission 
0",,,,,,
17,"French Polynesia 
11 
8 
0 
0 
Imported cases only 
0",,,,,,
18,"New Caledonia 
2 
2 
0 
0 
Imported cases only 
0",,,,,,
19,European Region,,,,,,
20,Italy,41035,5322,3407,429,Local transmission,0
21,Spain,17147,3431,767,169,Local transmission,0
22,Germany,10999,2801,20,8,Local transmission,0
23,France,10877,1834,372,128,Local transmission,0
24,Switzerland,3863,853,33,12,Local transmission,0
25,The United Kingdom,3277,647,144,41,Local transmission,0
26,Netherlands,2460,409,76,18,Local transmission,0
27,Austria,1843,197,5,1,Local transmission,0
28,Belgium,1795,309,14,0,Local transmission,0
29,Norway,1552,129,6,3,Local transmission,0
30,Sweden,1423,144,3,0,Local transmission,0
31,Denmark,1132,88,6,2,Local transmission,0
32,Portugal,785,143,3,1,Local transmission,0
33,Czechia,694,172,0,0,Local transmission,0
34,Ireland,557,265,3,1,Local transmission,0
35,Israel,529,102,0,0,Local transmission,0
36,Greece,418,0,5,0,Local transmission,1
37,Finland,369,10,0,0,Local transmission,0
38,Luxembourg,345,135,4,2,Local transmission,0
39,Iceland,330,80,0,0,Local transmission,0
40,Poland,325,38,5,0,Local transmission,0
41,Slovenia,319,33,1,0,Local transmission,0
42,Estonia,267,9,0,0,Local transmission,0
43,Romania,260,14,0,0,Local transmission,0
44,Russian Federation,199,52,0,0,Imported cases only,0
45,Turkey,191,0,2,0,Local transmission,1
46,San Marino,126,17,14,0,Local transmission,0
47,Serbia††,123,41,0,0,Local transmission,0
,0,1,2,3,4,5,6
0,Slovakia,123,18,0,0,Local transmission,0
1,Armenia,122,38,0,0,Local transmission,0
2,Bulgaria,94,2,3,1,Local transmission,0
3,Latvia,86,15,0,0,Imported cases only,0
4,Croatia,81,0,0,0,Local transmission,1
5,Hungary,73,15,1,0,Local transmission,0
6,Albania,70,11,2,0,Local transmission,0
7,Cyprus,58,0,0,0,Local transmission,1
8,Malta,53,5,0,0,Imported cases only,0
9,Republic of Moldova,49,13,0,0,Local transmission,0
10,North Macedonia,48,17,0,0,Local transmission,0
11,Belarus,46,0,0,0,Local transmission,1
12,Kazakhstan,46,10,0,0,Imported cases only,0
13,"Bosnia and 
Herzegovina",44,8,0,0,Local transmission,0
14,Georgia,38,4,0,0,Imported cases only,0
15,Lithuania,36,10,0,0,Imported cases only,0
16,Azerbaijan,34,0,1,0,Imported cases only,1
17,Liechtenstein,25,0,0,0,Imported cases only,1
18,Uzbekistan,21,5,0,0,Local transmission,0
19,Ukraine,16,0,2,0,Local transmission,1
20,Montenegro,10,8,0,0,Imported cases only,0
21,Monaco,9,0,0,0,Under investigation,3
22,Kyrgyzstan,3,0,0,0,Under investigation,1
23,Holy See,1,0,0,0,Under investigation,13
24,Territories**,,,,,,
25,Andorra,75,36,0,0,Imported cases only,0
26,Faroe Islands,72,14,0,0,Imported cases only,0
27,Gibraltar,10,2,0,0,Under investigation,0
28,Jersey,5,0,0,0,Imported cases only,2
29,Greenland,2,0,0,0,Under investigation,1
30,Guernsey,1,0,0,0,Imported cases only,10
31,South-East Asia Region,,,,,,
32,Thailand,322,110,1,0,Local transmission,0
33,Indonesia,309,82,25,6,Local transmission,0
34,India,195,44,4,1,Local transmission,0
35,Sri Lanka,59,17,0,0,Local transmission,0
36,Bangladesh,17,7,1,1,Local transmission,0
37,Maldives,13,0,0,0,Local transmission,4
38,Bhutan,2,1,0,0,Imported cases only,0
39,Nepal,1,0,0,0,Imported cases only,56
40,Eastern Mediterranean Region,,,,,,
41,"Iran (Islamic Republic 
of)",18407,1046,1284,149,Local transmission,0
42,Qatar,452,10,0,0,Local transmission,0
43,Pakistan,302,61,2,2,Imported cases only,0
44,Bahrain,269,13,1,0,Local transmission,0
45,Saudi Arabia,238,0,0,0,Local transmission,1
46,Egypt,210,14,6,0,Local transmission,0
47,Iraq,177,13,12,0,Local transmission,0
48,Lebanon,149,29,4,0,Local transmission,0
49,Kuwait,148,6,0,0,Local transmission,0
50,United Arab Emirates,140,27,0,0,Local transmission,0
51,Morocco,61,12,2,0,Local transmission,0
,0,1,2,3,4,5,6
0,Jordan,56,4,0,0,Imported cases only,0
1,Oman,39,6,0,0,Imported cases only,0
2,Tunisia,39,10,0,0,Local transmission,0
3,Afghanistan,22,0,0,0,Imported cases only,2
4,Djibouti,1,0,0,0,Under investigation,1
5,Somalia,1,0,0,0,Imported cases only,3
6,Sudan,1,0,1,0,Imported cases only,5
7,Territories**,,,,,,
8,"occupied Palestinian 
47 
3 
0 
0 
Local transmission 
0 
territory",,,,,,
9,Region of the Americas,,,,,,
10,"United States of 
America",10442,3355,150,50,Local transmission,0
11,Canada,736,167,9,0,Local transmission,0
12,Brazil,428,137,4,3,Local transmission,0
13,Chile,342,104,0,0,Local transmission,0
14,Peru,234,89,0,0,Local transmission,0
15,Ecuador,199,44,3,1,Local transmission,0
16,Mexico,118,25,1,1,Imported cases only,0
17,Panama,109,23,1,0,Local transmission,0
18,Colombia,108,15,0,0,Local transmission,0
19,Argentina,97,0,2,0,Local transmission,1
20,Costa Rica,87,37,1,0,Local transmission,0
21,Uruguay,79,50,0,0,Imported cases only,0
22,"Venezuela (Bolivarian 
Republic of)",36,0,0,0,Imported cases only,1
