,0,1,2,3,4,5,6
0,"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,
1,,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths
2,Hubei,5917,4,1,10,67794,3085
3,Guangdong,11346,1,1,0,1357,8
4,Henan,9605,0,0,0,1273,22
5,Zhejiang,5737,4,2,0,1231,1
6,Hunan,6899,0,0,0,1018,4
7,Anhui,6324,0,0,0,990,6
8,Jiangxi,4648,0,0,0,935,1
9,Shandong,10047,0,0,0,760,7
10,Jiangsu,8051,0,1,0,631,0
11,Chongqing,3102,0,0,0,576,6
12,Sichuan,8341,0,0,0,539,3
13,Heilongjiang,3773,0,0,0,482,13
14,Beijing,2154,5,9,0,442,8
15,Shanghai,2424,3,24,0,353,3
16,Hebei,7556,0,0,0,318,6
17,Fujian,3941,0,0,0,296,1
18,Guangxi,4926,0,0,0,252,2
19,Shaanxi,3864,0,0,0,245,2
20,Yunnan,4830,0,0,0,174,2
21,Hainan,934,0,0,0,168,6
22,Guizhou,3600,0,0,0,146,2
23,Hong Kong SAR,745,4,0,0,141,4
24,Tianjin,1560,0,1,0,136,3
25,Shanxi,3718,0,0,0,133,0
26,Gansu,2637,3,0,0,132,2
27,Liaoning,4359,0,0,0,125,1
28,Jilin,2704,0,0,0,93,1
29,Xinjiang,2487,0,0,0,76,3
30,Ningxia,688,0,0,0,75,0
31,Inner Mongolia,2534,0,0,0,75,1
32,Taipei and environs,2359,3,0,0,53,1
33,Qinghai,603,0,0,0,18,0
34,Macao SAR,66,0,0,0,10,0
35,Xizang,344,0,0,0,1,0
36,Total,142823,27,39,10,81048,3204
,0,1,2,3,4,5,6
0,"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases1 
deaths1",,,,,,
1,Western Pacific Region,,,,,,
2,Republic of Korea,8162,76,75,3,Local transmission,0
3,Japan,780,64,22,1,Local transmission,0
4,Australia,249,52,3,0,Local transmission,0
5,Malaysia,238,41,0,0,Local transmission,0
6,Singapore,212,12,0,0,Local transmission,0
7,Philippines,111,47,6,4,Local transmission,0
8,Viet Nam,53,5,0,0,Local transmission,0
9,Brunei Darussalam,40,15,0,0,Local transmission,0
10,Cambodia,7,0,0,0,Local transmission,1
11,New Zealand,6,0,0,0,Local transmission,1
12,Mongolia,1,0,0,0,Imported cases only,5
13,Territories**,,,,,,
14,"French Polynesia 
3 
2 
0 
0 
Imported cases only 
0",,,,,,
15,European Region,,,,,,
16,Italy,21157,3497,1441,173,Local transmission,0
